"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "Prisma", "Markdown", "PL/SQL", "YAML", "PostCSS", "comment", "blank", "total"
"e:\FYP\educonnect-fyp\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\FYP\educonnect-fyp\Emails\VerificationEmail.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 3, 68
"e:\FYP\educonnect-fyp\Logs\log1.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 21, 63
"e:\FYP\educonnect-fyp\Logs\log1forSecondSupervisor.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 21, 50
"e:\FYP\educonnect-fyp\Logs\log2.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 21, 70
"e:\FYP\educonnect-fyp\Logs\log3.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 28, 94
"e:\FYP\educonnect-fyp\Logs\log4.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 21, 92
"e:\FYP\educonnect-fyp\Logs\log5.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 33, 94
"e:\FYP\educonnect-fyp\Logs\log6.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 19, 50
"e:\FYP\educonnect-fyp\Logs\log7.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 23, 56
"e:\FYP\educonnect-fyp\Logs\log8.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\FYP\educonnect-fyp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"e:\FYP\educonnect-fyp\__tests__\server.test.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 77
"e:\FYP\educonnect-fyp\__tests__\socket.test.ts", "TypeScript", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49, 277
"e:\FYP\educonnect-fyp\components.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"e:\FYP\educonnect-fyp\educonnect_postman_collection.json", "JSON", 0, 0, 0, 558, 0, 0, 0, 0, 0, 0, 0, 0, 1, 559
"e:\FYP\educonnect-fyp\jest.config.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 108, 55, 207
"e:\FYP\educonnect-fyp\jest.setup.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 20
"e:\FYP\educonnect-fyp\next.config.mjs", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 54
"e:\FYP\educonnect-fyp\package-lock.json", "JSON", 0, 0, 0, 18406, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18407
"e:\FYP\educonnect-fyp\package.json", "JSON", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 1, 137
"e:\FYP\educonnect-fyp\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9808, 0, 0, 2513, 12321
"e:\FYP\educonnect-fyp\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"e:\FYP\educonnect-fyp\postman_collection.json", "JSON", 0, 0, 0, 714, 0, 0, 0, 0, 0, 0, 0, 0, 1, 715
"e:\FYP\educonnect-fyp\prisma\migrations\20240909025707_init\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 5, 25
"e:\FYP\educonnect-fyp\prisma\migrations\20240909030915_message\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 4, 16
"e:\FYP\educonnect-fyp\prisma\migrations\20240909091831_add_auth_related_tables\migration.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 19, 14, 84
